Annual_Income,Monthly_Average_Spend,Transactions_Per_Month,Online_Offline_Spend_Ratio,Travel_Spend_Ratio,Dining_Spend_Ratio,Transaction_Summary,Reward_Tier
646802,38665,11,0.97,0.11,0.25,electronics purchase,Basic
703074,38003,12,0.34,0.31,0.15,flight booking,Basic
871466,36857,76,0.8,0.02,0.5,fine dining & electronics purchase,Basic
883614,36045,91,0.85,0.31,0.34,international travel & fine dining & electronics purchase,Basic
964636,36930,86,0.62,0.36,0.48,flight booking & restaurant visit & online shopping,Basic
1302551,42269,42,0.35,0.21,0.21,online shopping,Gold
755763,37289,58,0.62,0.46,0.44,flight booking & restaurant visit & online shopping,Basic
600425,54166,80,0.58,0.08,0.22,electronics purchase,Basic
455170,57207,19,0.61,0.53,0.43,international travel & restaurant visit & electronics purchase,Platinum
617267,31787,96,0.62,0.57,0.07,international travel & electronics purchase,Basic
791718,75421,54,0.85,0.0,0.32,restaurant visit & online shopping,Gold
1248639,30398,60,0.17,0.51,0.34,hotel stay & fine dining,Basic
670597,17643,99,0.37,0.3,0.33,hotel stay & fine dining,Basic
855946,57615,13,0.59,0.28,0.22,electronics purchase,Gold
795894,33651,12,0.28,0.14,0.34,restaurant visit,Basic
1097098,56425,23,0.98,0.27,0.12,online shopping,Gold
1431733,5000,55,0.26,0.57,0.3,hotel stay,Basic
667282,77849,76,0.47,0.13,0.28,hotel stay,Basic
677640,63445,61,0.88,0.11,0.16,online shopping,Basic
1061040,19990,72,0.08,0.15,0.39,restaurant visit,Basic
970472,20424,35,0.82,0.33,0.04,international travel & electronics purchase,Platinum
1261676,83445,7,0.57,0.56,0.09,international travel & online shopping,Gold
945982,35252,87,0.03,0.34,0.24,hotel stay,Basic
710176,33316,47,0.9,0.15,0.45,restaurant visit & electronics purchase,Basic
947663,5000,33,0.04,0.26,0.29,grocery shopping,Basic
1077175,42984,14,0.52,0.23,0.42,restaurant visit & online shopping,Gold
1005120,45445,16,0.05,0.03,0.26,hotel stay,Gold
926818,64309,50,0.07,0.31,0.39,international travel & fine dining,Gold
1066668,22018,34,0.89,0.08,0.16,online shopping,Basic
1092323,19594,98,0.77,0.51,0.41,hotel stay & restaurant visit & online shopping,Basic
1145539,59019,86,0.2,0.33,0.2,flight booking,Gold
962177,70134,92,0.62,0.51,0.28,flight booking & online shopping,Gold
758220,18576,36,0.79,0.57,0.09,hotel stay & online shopping,Basic
836678,71630,77,0.89,0.57,0.46,flight booking & fine dining & online shopping,Gold
1101627,50750,51,0.47,0.06,0.35,fine dining,Gold
595766,71836,92,0.9,0.57,0.43,international travel & restaurant visit & electronics purchase,Basic
892168,48595,67,0.51,0.48,0.1,international travel & electronics purchase,Gold
701665,5000,30,0.69,0.47,0.03,international travel & electronics purchase,Basic
807186,46960,7,0.98,0.05,0.17,electronics purchase,Gold
1119612,71202,27,0.24,0.11,0.26,fine dining,Gold
847774,32125,79,0.17,0.59,0.4,hotel stay & fine dining,Basic
811609,42240,78,0.34,0.13,0.2,restaurant visit,Gold
460035,46477,54,0.16,0.1,0.13,restaurant visit,Basic
986563,5000,40,0.28,0.22,0.19,electronics purchase,Basic
961371,83426,17,0.74,0.55,0.35,hotel stay & fine dining & electronics purchase,Gold
1340813,31972,33,0.48,0.29,0.17,movie tickets,Basic
723055,60114,42,0.38,0.55,0.49,flight booking & restaurant visit,Gold
854787,48265,81,0.37,0.2,0.09,restaurant visit,Gold
862345,75152,94,0.19,0.14,0.38,restaurant visit,Gold
1194363,58121,88,0.45,0.3,0.29,flight booking,Gold
776176,45301,9,0.62,0.37,0.12,flight booking & electronics purchase,Gold
869755,32129,24,0.14,0.23,0.38,restaurant visit,Basic
951974,65957,82,0.97,0.21,0.22,online shopping,Gold
846652,12531,18,0.44,0.13,0.34,fine dining,Basic
688391,62917,12,0.95,0.17,0.33,restaurant visit & electronics purchase,Basic
848522,28019,52,0.13,0.4,0.06,international travel,Basic
1068407,75045,17,0.77,0.22,0.42,fine dining & electronics purchase,Gold
543371,53225,28,0.62,0.05,0.34,fine dining & electronics purchase,Basic
833242,62882,83,0.82,0.08,0.39,restaurant visit & online shopping,Gold
624969,51639,69,0.6,0.22,0.22,online shopping,Basic
1098761,14952,90,0.96,0.55,0.1,hotel stay & online shopping,Basic
419203,32785,38,0.63,0.23,0.16,electronics purchase,Basic
660269,63447,55,0.78,0.04,0.45,fine dining & online shopping,Basic
894302,53333,7,0.88,0.25,0.47,fine dining & online shopping,Platinum
1191381,73619,94,0.71,0.4,0.24,international travel & electronics purchase,Gold
783562,58065,82,0.52,0.36,0.15,hotel stay & online shopping,Gold
661200,30665,62,0.27,0.17,0.37,restaurant visit,Basic
1270289,34078,76,0.85,0.41,0.38,hotel stay & restaurant visit & electronics purchase,Basic
437996,52058,59,0.48,0.38,0.41,hotel stay & restaurant visit,Basic
250298,5000,84,0.62,0.1,0.02,online shopping,Platinum
910003,83468,46,0.08,0.1,0.0,fuel refill,Gold
674486,58834,25,0.5,0.33,0.18,flight booking,Basic
544691,74540,14,0.7,0.4,0.08,hotel stay & online shopping,Basic
977089,18387,61,0.58,0.58,0.4,international travel & restaurant visit & electronics purchase,Basic
860950,74891,29,0.45,0.25,0.27,electronics purchase,Gold
658980,94629,60,0.22,0.46,0.41,international travel & fine dining,Basic
479923,23582,42,0.31,0.07,0.09,fuel refill,Platinum
1018114,65428,90,0.7,0.53,0.31,flight booking & fine dining & electronics purchase,Gold
962550,50022,65,0.22,0.38,0.29,hotel stay,Gold
775206,19111,51,0.62,0.38,0.17,international travel & electronics purchase,Basic
1261659,59857,58,0.59,0.09,0.26,online shopping,Gold
532478,66672,50,0.97,0.02,0.29,online shopping,Basic
418618,37977,72,0.06,0.42,0.44,hotel stay & restaurant visit,Basic
627022,73318,8,0.11,0.07,0.03,fuel refill,Basic
788603,16664,98,0.51,0.08,0.41,fine dining & online shopping,Basic
860834,20104,70,0.53,0.11,0.49,restaurant visit & electronics purchase,Basic
739690,52731,97,0.04,0.06,0.37,fine dining,Gold
888013,50507,47,0.83,0.38,0.37,hotel stay & restaurant visit & online shopping,Gold
487115,35668,66,0.49,0.25,0.11,grocery shopping,Basic
1160941,66191,89,0.35,0.16,0.26,fuel refill,Gold
779462,60617,89,0.32,0.26,0.35,restaurant visit,Gold
1079323,67162,89,0.86,0.51,0.3,flight booking & fine dining & online shopping,Gold
885681,47537,8,0.2,0.56,0.19,flight booking,Gold
914188,62051,69,0.16,0.29,0.47,fine dining,Platinum
942441,41086,66,0.21,0.34,0.26,hotel stay,Gold
911927,91076,94,0.63,0.15,0.48,fine dining & online shopping,Gold
960680,33749,6,0.81,0.31,0.28,international travel & electronics purchase,Basic
1132288,92105,13,0.33,0.45,0.4,international travel & fine dining,Gold
849130,50697,61,0.17,0.3,0.37,restaurant visit,Gold
977250,22489,49,0.21,0.18,0.33,fine dining,Basic
777566,77361,22,0.62,0.35,0.01,flight booking & online shopping,Platinum
1160029,52518,52,0.25,0.57,0.04,international travel,Gold
630901,67022,46,0.88,0.53,0.29,international travel & online shopping,Basic
1250235,74477,45,0.1,0.46,0.46,international travel & restaurant visit,Gold
789960,56759,79,0.03,0.17,0.3,fine dining,Gold
442306,38155,93,0.09,0.14,0.12,online shopping,Basic
832026,69514,94,0.85,0.5,0.16,hotel stay & online shopping,Gold
629737,50015,62,0.65,0.11,0.31,restaurant visit & electronics purchase,Basic
1010160,63717,46,0.96,0.36,0.3,international travel & electronics purchase,Platinum
636844,6925,39,0.34,0.26,0.48,fine dining,Basic
688454,58939,42,0.21,0.28,0.26,movie tickets,Basic
327614,37228,71,0.56,0.27,0.18,online shopping,Platinum
686923,83066,45,0.54,0.54,0.26,hotel stay & electronics purchase,Basic
200000,62461,54,0.59,0.05,0.39,fine dining & electronics purchase,Basic
404024,54797,90,0.35,0.47,0.27,international travel,Basic
990103,59726,76,0.01,0.5,0.16,international travel,Gold
996450,30031,83,0.04,0.57,0.17,hotel stay,Platinum
906364,82465,49,0.66,0.27,0.38,restaurant visit & electronics purchase,Gold
558255,89827,75,0.52,0.3,0.03,hotel stay & electronics purchase,Basic
788072,57858,23,0.82,0.58,0.14,flight booking & online shopping,Gold
799099,81808,21,0.3,0.28,0.08,international travel,Gold
510408,38617,69,0.82,0.3,0.47,flight booking & restaurant visit & online shopping,Basic
1175849,34057,97,0.43,0.2,0.05,restaurant visit,Platinum
1019340,50818,81,0.1,0.02,0.38,restaurant visit,Gold
744758,58698,60,0.98,0.26,0.32,fine dining & online shopping,Gold
806721,42120,97,0.51,0.39,0.32,hotel stay & fine dining & online shopping,Gold
852095,60755,45,0.63,0.41,0.38,hotel stay & restaurant visit & online shopping,Gold
289566,56127,46,0.67,0.0,0.2,electronics purchase,Basic
738205,30033,10,0.36,0.48,0.2,flight booking,Basic
629503,60375,73,0.75,0.3,0.14,online shopping,Basic
549594,67270,79,0.87,0.31,0.3,hotel stay & electronics purchase,Basic
729724,53429,77,0.39,0.58,0.46,flight booking & restaurant visit,Gold
1249421,73052,44,0.66,0.17,0.46,fine dining & electronics purchase,Gold
960210,25651,45,0.76,0.46,0.35,international travel & restaurant visit & online shopping,Platinum
657205,59359,13,0.19,0.34,0.45,hotel stay & fine dining,Basic
943145,26594,12,0.33,0.42,0.48,hotel stay & fine dining,Basic
1149838,27718,48,0.11,0.25,0.4,fine dining,Basic
1031158,37381,62,0.6,0.17,0.2,electronics purchase,Basic
814907,31158,71,0.8,0.33,0.24,flight booking & electronics purchase,Basic
638265,39040,17,0.61,0.22,0.47,fine dining & online shopping,Basic
974555,45716,23,0.18,0.13,0.34,fine dining,Gold
898371,66743,53,0.55,0.5,0.41,hotel stay & restaurant visit & online shopping,Gold
1023798,43576,84,0.83,0.29,0.06,electronics purchase,Gold
958792,18287,86,0.3,0.51,0.1,hotel stay,Basic
1062388,72801,82,0.83,0.28,0.17,online shopping,Gold
666191,33258,34,0.78,0.33,0.09,flight booking & online shopping,Basic
1129348,48825,70,0.02,0.6,0.45,hotel stay & fine dining,Gold
849399,58930,81,0.24,0.57,0.11,flight booking,Gold
1318815,53992,95,0.54,0.16,0.28,electronics purchase,Platinum
627703,71883,63,0.72,0.52,0.04,flight booking & electronics purchase,Basic
1233990,59580,57,0.88,0.23,0.08,online shopping,Gold
849477,32773,56,0.64,0.04,0.12,electronics purchase,Basic
637145,93571,85,0.38,0.35,0.49,flight booking & fine dining,Basic
679028,53886,35,0.18,0.59,0.4,flight booking & restaurant visit,Basic
719913,47053,19,0.76,0.58,0.34,international travel & restaurant visit & online shopping,Platinum
906041,69278,24,0.21,0.08,0.46,fine dining,Gold
930708,54989,9,0.7,0.46,0.48,hotel stay & fine dining & online shopping,Gold
656574,57984,11,0.18,0.48,0.23,international travel,Basic
793911,99843,22,0.09,0.22,0.16,fine dining,Gold
1335567,44497,60,0.25,0.4,0.16,hotel stay,Gold
1231885,43644,79,0.28,0.29,0.02,online shopping,Gold
909080,52331,95,0.65,0.14,0.14,online shopping,Gold
809500,71430,94,0.16,0.46,0.18,international travel,Gold
830007,19869,49,0.93,0.16,0.02,electronics purchase,Basic
953379,10688,32,0.55,0.2,0.44,fine dining & electronics purchase,Basic
544301,38257,54,0.49,0.11,0.42,fine dining,Basic
735655,17321,6,0.43,0.43,0.13,international travel,Basic
382853,41503,88,0.57,0.28,0.4,fine dining & electronics purchase,Basic
899805,60049,72,0.02,0.27,0.4,fine dining,Gold
961798,32185,81,0.99,0.36,0.17,international travel & online shopping,Basic
679203,21463,28,0.56,0.09,0.35,restaurant visit & electronics purchase,Basic
1193496,51386,52,0.04,0.54,0.14,flight booking,Gold
493558,67250,49,0.59,0.28,0.04,electronics purchase,Basic
433906,16100,97,0.44,0.22,0.25,fuel refill,Basic
856112,66404,62,0.02,0.08,0.22,electronics purchase,Gold
1061774,66346,40,0.92,0.1,0.07,online shopping,Gold
1220981,69081,6,0.01,0.55,0.25,hotel stay,Gold
685278,74369,22,0.58,0.27,0.47,fine dining & electronics purchase,Basic
1069670,94040,53,0.96,0.43,0.37,flight booking & fine dining & electronics purchase,Gold
790372,42878,12,0.24,0.05,0.37,fine dining,Gold
756843,52191,62,0.25,0.39,0.38,flight booking & restaurant visit,Gold
1020914,41671,19,0.0,0.55,0.37,international travel & restaurant visit,Gold
963080,50039,21,0.07,0.18,0.01,fine dining,Gold
405901,80657,27,0.04,0.35,0.46,international travel & restaurant visit,Basic
1169135,23099,70,0.82,0.56,0.42,international travel & restaurant visit & online shopping,Basic
1145022,32779,74,0.84,0.43,0.14,flight booking & online shopping,Basic
643609,77543,97,0.73,0.04,0.28,electronics purchase,Basic
898950,70400,31,0.35,0.23,0.31,fine dining,Gold
923507,42737,41,0.82,0.05,0.07,electronics purchase,Gold
865168,67088,53,0.54,0.52,0.13,flight booking & online shopping,Gold
662423,56824,68,0.3,0.37,0.01,flight booking,Basic
632094,80005,38,0.44,0.57,0.43,flight booking & restaurant visit,Basic
793611,51490,22,0.07,0.01,0.01,electronics purchase,Gold
1093182,70512,68,0.94,0.25,0.16,electronics purchase,Gold
935900,102840,78,0.62,0.06,0.04,electronics purchase,Gold
707346,61961,48,0.73,0.21,0.39,restaurant visit & online shopping,Gold
992924,50986,21,0.68,0.1,0.46,fine dining & electronics purchase,Gold
200000,64448,63,0.67,0.2,0.28,electronics purchase,Basic
1087191,42694,17,0.02,0.49,0.07,flight booking,Gold
365071,97759,56,0.53,0.1,0.28,electronics purchase,Basic
709389,53601,64,0.82,0.28,0.39,restaurant visit & online shopping,Gold
520082,44541,46,0.04,0.55,0.36,hotel stay & restaurant visit,Platinum
476329,33286,95,0.96,0.6,0.37,hotel stay & restaurant visit & electronics purchase,Basic
1090206,71944,68,0.42,0.15,0.14,fuel refill,Gold
683074,67343,70,0.29,0.56,0.04,flight booking,Basic
886625,40052,38,0.53,0.16,0.07,electronics purchase,Gold
788269,61529,99,0.8,0.25,0.48,restaurant visit & electronics purchase,Gold
919260,19828,91,0.47,0.53,0.31,international travel & restaurant visit,Basic
819205,53699,75,0.65,0.47,0.36,flight booking & restaurant visit & online shopping,Gold
479251,59055,68,0.5,0.51,0.45,hotel stay & fine dining,Basic
1049066,84146,37,0.63,0.48,0.43,international travel & restaurant visit & electronics purchase,Gold
676560,34583,16,0.14,0.14,0.11,hotel stay,Basic
410854,24432,80,0.04,0.34,0.03,flight booking,Basic
692971,32091,23,0.14,0.23,0.46,restaurant visit,Basic
1175189,23268,13,0.29,0.28,0.49,restaurant visit,Basic
1012555,76733,78,0.25,0.09,0.28,electronics purchase,Gold
712836,80972,21,0.62,0.19,0.44,restaurant visit & electronics purchase,Gold
712685,56404,54,0.46,0.51,0.12,flight booking,Gold
719591,74425,43,0.04,0.54,0.06,international travel,Gold
1319186,52679,45,0.03,0.37,0.25,hotel stay,Gold
895483,48097,14,0.09,0.3,0.41,restaurant visit,Gold
907510,43339,16,0.35,0.43,0.33,hotel stay & fine dining,Gold
1057570,43792,83,0.01,0.37,0.32,international travel & restaurant visit,Gold
859697,19043,99,0.49,0.59,0.01,international travel,Platinum
735239,55285,19,0.36,0.11,0.16,online shopping,Gold
750912,49193,32,0.56,0.27,0.47,restaurant visit & online shopping,Gold
782099,64907,8,0.72,0.55,0.07,flight booking & electronics purchase,Gold
790694,51870,40,0.25,0.55,0.36,hotel stay & fine dining,Gold
981907,46745,69,0.16,0.3,0.38,fine dining,Gold
812986,32576,51,0.28,0.08,0.37,fine dining,Basic
983160,51443,85,0.0,0.49,0.49,international travel & restaurant visit,Gold
779820,64764,43,0.12,0.35,0.2,flight booking,Gold
819658,27133,42,0.75,0.46,0.34,flight booking & fine dining & online shopping,Platinum
300449,51749,48,0.22,0.28,0.1,fuel refill,Platinum
1029081,54660,55,0.99,0.12,0.2,electronics purchase,Gold
886622,35638,89,0.17,0.01,0.25,online shopping,Basic
1049502,38242,30,0.79,0.34,0.11,international travel & online shopping,Basic
200000,54612,40,0.71,0.1,0.45,fine dining & electronics purchase,Basic
1322093,27331,73,0.32,0.11,0.36,restaurant visit,Basic
765102,56998,5,0.33,0.26,0.14,fuel refill,Gold
1077045,32092,57,0.56,0.27,0.07,electronics purchase,Basic
540023,71257,10,0.85,0.16,0.14,online shopping,Basic
953193,96756,41,0.39,0.08,0.31,fine dining,Gold
536646,32784,6,0.06,0.57,0.41,international travel & restaurant visit,Basic
644057,60684,73,0.37,0.08,0.25,online shopping,Basic
1278507,35465,94,0.21,0.21,0.05,fuel refill,Basic
752329,70819,45,0.94,0.18,0.12,electronics purchase,Platinum
854358,24694,55,0.7,0.52,0.17,flight booking & online shopping,Basic
1017516,59611,51,0.05,0.25,0.32,fine dining,Gold
923920,32540,17,0.29,0.07,0.12,fine dining,Basic
837604,45860,80,0.05,0.01,0.12,restaurant visit,Gold
891240,29379,73,0.83,0.43,0.14,international travel & electronics purchase,Basic
1400853,66447,70,0.91,0.43,0.3,international travel & online shopping,Gold
785595,33260,63,0.11,0.25,0.25,electronics purchase,Platinum
850274,61039,72,0.44,0.08,0.42,restaurant visit,Platinum
1062663,43118,63,0.93,0.22,0.35,restaurant visit & online shopping,Gold
1076381,47710,95,0.15,0.35,0.33,international travel & restaurant visit,Gold
1096757,52955,14,0.29,0.42,0.08,international travel,Gold
959682,34763,17,0.3,0.05,0.03,restaurant visit,Basic
514248,54207,6,0.03,0.33,0.25,flight booking,Basic
1208357,80606,94,0.04,0.17,0.04,hotel stay,Gold
513413,34438,19,0.95,0.37,0.18,flight booking & online shopping,Basic
875658,73436,50,0.57,0.39,0.01,hotel stay & online shopping,Gold
611431,79961,61,0.31,0.55,0.09,international travel,Platinum
783965,33676,14,0.38,0.25,0.06,restaurant visit,Basic
882190,20898,26,0.71,0.32,0.4,flight booking & restaurant visit & electronics purchase,Basic
880339,56039,93,0.37,0.16,0.17,hotel stay,Platinum
905480,39051,83,0.23,0.17,0.04,movie tickets,Basic
1203427,87372,81,0.1,0.03,0.13,movie tickets,Gold
913383,50696,12,0.73,0.17,0.34,restaurant visit & electronics purchase,Gold
738960,33956,25,0.18,0.04,0.37,fine dining,Basic
1041021,27056,89,0.07,0.58,0.06,international travel,Basic
1097367,71798,26,0.43,0.37,0.39,international travel & fine dining,Gold
493098,38576,49,0.04,0.1,0.19,fuel refill,Basic
949350,50876,95,0.96,0.07,0.34,fine dining & online shopping,Gold
975293,69116,44,0.63,0.22,0.34,fine dining & online shopping,Gold
725609,40314,26,0.15,0.18,0.4,fine dining,Gold
1143926,49081,34,0.17,0.17,0.35,restaurant visit,Gold
762486,49668,66,0.57,0.28,0.02,online shopping,Gold
831394,63666,77,0.36,0.55,0.26,hotel stay,Gold
756732,61814,49,0.77,0.34,0.08,international travel & electronics purchase,Gold
803894,45597,39,0.55,0.31,0.48,hotel stay & fine dining & online shopping,Gold
525931,51272,86,0.43,0.48,0.13,flight booking,Basic
439987,42564,46,0.96,0.0,0.21,electronics purchase,Basic
1198626,20447,9,0.39,0.12,0.1,online shopping,Basic
588259,55152,31,0.4,0.3,0.07,restaurant visit,Basic
552151,87843,74,0.67,0.42,0.3,international travel & restaurant visit & electronics purchase,Basic
261652,32325,66,0.81,0.29,0.25,online shopping,Basic
640259,34539,36,0.63,0.1,0.19,online shopping,Basic
469227,32585,12,0.7,0.56,0.04,hotel stay & online shopping,Basic
1210503,64491,89,0.37,0.2,0.37,restaurant visit,Gold
1052454,58969,22,0.48,0.47,0.0,hotel stay,Gold
627962,46829,82,0.2,0.53,0.23,international travel,Basic
1363108,31639,19,0.68,0.21,0.32,restaurant visit & online shopping,Basic
1045441,51847,30,0.22,0.51,0.22,international travel,Gold
718792,18707,57,0.0,0.43,0.06,international travel,Basic
200000,52868,48,0.93,0.54,0.39,international travel & fine dining & online shopping,Basic
1372735,67430,36,0.31,0.15,0.16,online shopping,Gold
452606,24976,32,0.2,0.56,0.07,international travel,Basic
388650,19349,43,0.27,0.04,0.28,flight booking,Basic
1055642,81588,36,0.33,0.48,0.01,flight booking,Gold
1409938,37764,81,0.47,0.26,0.16,movie tickets,Basic
1146068,72718,83,0.07,0.11,0.38,fine dining,Gold
940977,46920,22,0.05,0.05,0.46,restaurant visit,Gold
948688,46760,74,0.29,0.23,0.3,fine dining,Gold
1013353,58768,15,0.3,0.23,0.11,fine dining,Gold
989732,32320,36,0.12,0.14,0.11,fuel refill,Basic
870297,52649,24,0.4,0.13,0.3,fine dining,Gold
826050,42370,44,0.28,0.24,0.2,fuel refill,Gold
784351,23590,12,0.03,0.25,0.09,movie tickets,Basic
611508,56749,39,0.89,0.27,0.39,restaurant visit & online shopping,Basic
729831,44733,73,0.89,0.52,0.1,hotel stay & online shopping,Gold
376760,46859,82,0.21,0.37,0.16,international travel,Basic
775415,25796,25,0.16,0.01,0.03,movie tickets,Basic
552852,81828,28,0.55,0.31,0.35,hotel stay & fine dining & electronics purchase,Basic
524102,67534,21,0.63,0.46,0.14,international travel & online shopping,Basic
844973,69283,22,0.96,0.03,0.12,online shopping,Gold
1148000,43891,16,0.38,0.25,0.15,international travel,Gold
1029579,15416,20,0.62,0.27,0.44,fine dining & online shopping,Basic
407374,89058,8,0.88,0.57,0.26,international travel & electronics purchase,Basic
552592,48778,93,0.45,0.29,0.08,international travel,Basic
1035192,35024,38,0.12,0.45,0.39,flight booking & fine dining,Basic
554378,58336,96,0.38,0.18,0.1,hotel stay,Basic
743841,73342,50,0.14,0.47,0.21,flight booking,Gold
937513,49538,79,0.02,0.19,0.28,international travel,Gold
557913,75571,81,0.75,0.26,0.29,electronics purchase,Basic
826343,71659,35,0.24,0.29,0.03,grocery shopping,Gold
466493,28472,29,0.0,0.56,0.42,international travel & restaurant visit,Basic
649658,36524,78,0.87,0.03,0.24,online shopping,Basic
879945,69150,28,0.44,0.12,0.49,restaurant visit,Gold
401751,5000,69,0.24,0.42,0.36,international travel & restaurant visit,Basic
910118,47010,29,0.26,0.35,0.5,international travel & restaurant visit,Gold
795090,21383,32,0.24,0.15,0.23,restaurant visit,Basic
938122,40468,40,0.19,0.17,0.07,grocery shopping,Gold
855978,44023,86,0.84,0.22,0.36,restaurant visit & electronics purchase,Gold
1141035,42835,10,0.17,0.27,0.39,restaurant visit,Gold
831306,38954,70,0.56,0.49,0.43,flight booking & fine dining & online shopping,Platinum
692648,28057,71,0.08,0.01,0.15,restaurant visit,Basic
830574,95838,76,0.95,0.54,0.26,hotel stay & electronics purchase,Gold
935824,87349,99,0.6,0.25,0.43,restaurant visit & online shopping,Gold
812215,26758,52,0.9,0.14,0.43,restaurant visit & online shopping,Platinum
810147,81642,87,0.4,0.31,0.01,hotel stay,Gold
624502,42010,74,0.81,0.4,0.34,international travel & restaurant visit & electronics purchase,Basic
634274,52583,82,0.85,0.03,0.3,restaurant visit & online shopping,Basic
449348,48734,71,0.7,0.43,0.04,hotel stay & online shopping,Basic
1237394,36805,52,0.09,0.46,0.47,hotel stay & fine dining,Basic
489034,69677,69,0.02,0.1,0.22,restaurant visit,Basic
626773,52517,48,0.17,0.1,0.34,fine dining,Basic
620398,40468,98,0.12,0.12,0.44,restaurant visit,Basic
1023731,23908,67,0.73,0.48,0.07,hotel stay & online shopping,Basic
726262,32128,50,0.56,0.16,0.43,fine dining & online shopping,Basic
1111935,17172,23,0.53,0.48,0.36,flight booking & restaurant visit & electronics purchase,Basic
631627,50244,68,0.25,0.32,0.42,international travel & restaurant visit,Basic
869748,26066,87,0.15,0.46,0.25,flight booking,Basic
591163,44688,77,0.21,0.33,0.02,flight booking,Basic
1336287,77402,75,0.4,0.2,0.34,restaurant visit,Gold
503100,73985,54,0.74,0.55,0.19,international travel & electronics purchase,Basic
877455,49354,67,0.25,0.43,0.2,flight booking,Gold
958444,48258,45,0.7,0.29,0.22,online shopping,Gold
903449,87597,11,0.49,0.38,0.25,hotel stay,Gold
753678,60415,13,0.89,0.37,0.33,international travel & restaurant visit & electronics purchase,Gold
767544,43443,8,0.23,0.21,0.36,restaurant visit,Gold
810952,21479,93,0.45,0.25,0.39,restaurant visit,Basic
763249,57877,53,0.1,0.19,0.34,fine dining,Gold
1040969,66586,80,0.34,0.6,0.4,flight booking & restaurant visit,Gold
1352630,37366,10,0.51,0.35,0.06,international travel & electronics purchase,Basic
660627,55824,86,0.73,0.06,0.42,fine dining & online shopping,Basic
457549,42728,25,0.2,0.31,0.19,international travel,Basic
777929,46319,19,0.22,0.03,0.26,fuel refill,Gold
1444927,5000,71,0.63,0.17,0.22,online shopping,Basic
599081,45564,70,0.38,0.27,0.24,flight booking,Platinum
1209779,69387,60,0.48,0.32,0.14,hotel stay,Gold
1219425,37371,72,0.84,0.59,0.08,hotel stay & electronics purchase,Basic
661602,51050,36,0.5,0.59,0.05,hotel stay,Basic
942245,34880,70,0.65,0.06,0.23,online shopping,Basic
1207099,57208,33,0.66,0.32,0.06,flight booking & electronics purchase,Gold
705218,45669,70,0.8,0.49,0.12,flight booking & electronics purchase,Gold
749104,31215,38,0.64,0.14,0.07,electronics purchase,Basic
654579,76651,31,0.06,0.45,0.05,hotel stay,Basic
546310,68578,64,0.34,0.53,0.44,hotel stay & fine dining,Basic
637680,37901,43,0.99,0.4,0.34,hotel stay & fine dining & online shopping,Basic
494014,59955,48,0.2,0.2,0.46,restaurant visit,Basic
808520,60748,86,0.59,0.55,0.32,international travel & restaurant visit & online shopping,Gold
607506,62846,40,0.84,0.53,0.42,hotel stay & restaurant visit & electronics purchase,Basic
858446,16114,23,0.59,0.43,0.28,international travel & online shopping,Basic
411026,70132,95,0.37,0.22,0.23,fine dining,Basic
882720,38606,49,0.08,0.48,0.26,flight booking,Basic
1008382,42843,88,0.36,0.19,0.16,online shopping,Gold
301566,102757,25,0.18,0.15,0.33,restaurant visit,Basic
893514,56037,27,0.96,0.31,0.45,hotel stay & restaurant visit & online shopping,Gold
1106917,42273,98,0.72,0.6,0.39,flight booking & restaurant visit & online shopping,Gold
497589,5894,93,0.75,0.48,0.23,flight booking & online shopping,Basic
1218143,77795,99,0.44,0.44,0.48,flight booking & restaurant visit,Gold
904754,23095,31,0.11,0.27,0.49,restaurant visit,Basic
623747,29931,76,0.27,0.19,0.25,movie tickets,Basic
786057,43372,23,0.26,0.51,0.43,hotel stay & fine dining,Gold
939581,78328,45,0.49,0.34,0.0,international travel,Gold
819001,65464,30,0.46,0.49,0.03,international travel,Gold
934688,46843,32,0.43,0.29,0.01,fine dining,Gold
569831,56165,68,0.5,0.45,0.39,hotel stay & restaurant visit,Basic
842340,37992,72,0.99,0.52,0.04,flight booking & electronics purchase,Basic
446571,52793,99,0.3,0.23,0.01,international travel,Basic
772193,51466,84,0.62,0.01,0.07,electronics purchase,Gold
574023,69375,55,0.24,0.15,0.15,international travel,Basic
616117,69343,78,0.47,0.55,0.23,hotel stay,Basic
1109023,59879,52,0.2,0.41,0.03,international travel,Gold
1072827,42753,14,0.56,0.44,0.25,international travel & electronics purchase,Gold
952284,64836,77,0.27,0.2,0.12,international travel,Gold
526921,48160,43,0.04,0.42,0.14,hotel stay,Basic
720897,28361,23,0.82,0.39,0.41,hotel stay & fine dining & electronics purchase,Basic
1103274,41934,68,0.13,0.11,0.49,restaurant visit,Gold
835429,51690,23,0.37,0.58,0.23,international travel,Gold
1379832,68204,80,0.48,0.21,0.16,hotel stay,Gold
898329,46329,66,0.43,0.2,0.47,restaurant visit,Gold
848012,25816,17,0.73,0.22,0.25,electronics purchase,Basic
722720,51134,29,0.6,0.06,0.37,fine dining & electronics purchase,Gold
833385,52269,93,0.3,0.37,0.21,hotel stay,Gold
761882,53716,96,0.05,0.14,0.1,international travel,Gold
977027,68397,46,0.77,0.48,0.33,international travel & fine dining & online shopping,Gold
1039175,70378,43,0.35,0.24,0.33,restaurant visit,Gold
603502,38115,34,0.89,0.28,0.23,online shopping,Basic
467191,37677,9,0.4,0.39,0.13,international travel,Basic
